lyric,occurence,pos
thinks,18,VBZ
tres,18,
tryin,18,VG
understands,18,VBZ
untouched,18,ADJ
upon,18,P
waist,18,N
walkin',18,VG
weather,18,N
yee-hoo,18,
9,17,NUM
ah-ah,17,
bedroom,17,N
bee,17,N
blood,17,N
bone,17,N
brave,17,ADJ
cashin',17,
cheap,17,ADJ
closing,17,VG
cute,17,ADJ
degrees,17,N
deuces,17,
dough,17,N
drake,17,
dreamin',17,
empty,17,ADJ
father,17,N
flip,17,V
goose,17,N
grindin',17,
hopin',17,
hoping,17,VG
inna,17,
jumpin',17,
keisha,17,
leaves,17,VBZ
messed,17,VD
missin',17,
pair,17,N
pimpin',17,
private,17,ADJ
proud,17,ADJ
ray,17,N
repeat,17,V
sadness,17,N
sheets,17,N
shirt,17,N
shooting,17,VG
shouldn't,17,MOD
sign,17,N
simple,17,ADJ
spell,17,N
spinning,17,VG
spotlights,17,VBZ
sprung,17,VN
starting,17,VG
stones,17,N
sunlight,17,N
sweeter,17,
timbaland,17,
train,17,N
treasure,17,N
twenty-two,17,NUM
usa,17,
wasted,17,VN
week,17,N
wheels,17,N
ale-alejandro,16,
baddest,16,
bags,16,N
bent,16,VN
blind,16,ADJ
bodies,16,N
bouncin',16,
breaks,16,VBZ
bro,16,
bumpin',16,
bus,16,N
climb,16,V
cloud,16,N
conversation,16,N
cruise,16,N
death,16,N
deck,16,N
dope,16,N
downdown,16,
drinkin',16,
eight,16,NUM
en,16,FW
energy,16,N
exception,16,N
extra,16,ADJ
faithful,16,ADJ
fancy,16,N
fantasize,16,
fellas,16,N
flight,16,N
geurae,16,
glory,16,N
grand,16,ADJ
grind,16,V
having,16,V
hey-hey,16,
hottest,16,ADJ
hush,16,UH
hypnotized,16,VN
ipod's,16,
j,16,
jack,16,
jam,16,N
jay,16,N
juicy,16,ADJ
keeping,16,VG
lasts,16,VBZ
learned,16,VN
least,16,DET
lift,16,V
lovely,16,ADJ
lumps,16,N
lying,16,VG
mack,16,
mami,16,
monkey,16,N
motel,16,N
neo,16,
o'clock,16,ADV
paralyzed,16,VN
pimp,16,N
raini,16,
rub,16,V
rumba,16,
saved,16,VN
smokin',16,
sore,16,ADJ
sunrise,16,N
superman,16,
tellin,16,
throwing,16,VG
weren't,16,V
wife,16,N
worldwide,16,ADJ
yeoja,16,
yup,16,
a-ooh,15,
age,15,N
ago,15,ADV
aim,15,N
alarm,15,N
b,15,N
ballin,15,
beg,15,V
building,15,N
bulletproof,15,
chasing,15,VG
click,15,N
closed,15,VN
cock,15,N
como,15,
dear,15,ADJ
dynamite,15,N
e,15,N
eenie,15,
everybody's,15,PRO
faded,15,VN
hall,15,N
hating,15,VG
heavy,15,ADJ
hole,15,N
hollywood,15,
hurry,15,V
keri,15,
meenie,15,
miney,15,
mother,15,N
ne-yo,15,
niggaz,15,
note,15,N
o,15,N
ohhhhhhhh,15,
one's,15,PRO
opened,15,VD
passion,15,N
perfectly,15,DET
photo,15,N
promiscuous,15,
pumped,15,VD
rack,15,N
respect,15,N
rough,15,ADJ
s,15,
saving,15,VG
seconds,15,N
security,15,N
self,15,N
shout,15,V
signs,15,N
smoking,15,VG
sticks,15,N
suck,15,V
suicidal,15,
sweetest,15,ADJ
swimming,15,VG
tastes,15,N
threw,15,VD
usher,15,V
wash,15,N
whiskey,15,N
whoa-oh-oh-oh,15,
3-p,14,
:,14,:
adorn,14,V
anywhere,14,ADV
aren't,14,V
armor,14,N
bossy,14,
brother,14,N
cha,14,
cheese,14,N
circus,14,N
condo,14,
cooler,14,ADJ
dad,14,N
eighty,14,NUM
exactly,14,ADV
flowers,14,N
gangsta,14,
girl's,14,N
glitter,14,N
grass,14,N
hollerin',14,
joc,14,
list,14,N
loaded,14,VN
lock,14,N
love's,14,N
mistake,14,N
moved,14,VD
nina,14,
none,14,PRO
nope,14,
ok,14,
owe,14,V
pharrel,14,
pink,14,ADJ
poison,14,N
poppin,14,
prove,14,V
quick,14,ADJ
quiet,14,ADJ
replay-ay-ay-ay,14,
riding,14,VG
sand,14,N
secrets,14,N
separate,14,ADJ
shades,14,N
shady,14,ADJ
shinin',14,
solo,14,N
somethin,14,PRO
storm,14,N
taken,14,VN
tan,14,ADJ
tasty,14,ADJ
teenage,14,ADJ
temperature,14,N
test,14,N
thatta,14,
they'd,14,PRO
they'll,14,PRO
til,14,
trick,14,N
underneath,14,P
undone,14,VN
using,14,VG
wine,14,N
woo-hoo,14,
world's,14,N
wrist,14,N
yung,14,
1:,13,
2:,13,
apple,13,N
beating,13,VG
birds,13,N
bitterness,13,N
blows,13,VBZ
calls,13,VBZ
chains,13,N
credit,13,N
crush,13,N
darkness,13,N
date,13,N
dial,13,
doe,13,
drinking,13,VG
dropped,13,VD
dust,13,N
eminem,13,
flo',13,
fucked,13,
ghost,13,N
gift,13,N
group,13,N
guns,13,N
jeezy,13,
kanye,13,
knowin',13,
lamborghini,13,
land,13,N
los,13,
mama's,13,
message,13,N
misery,13,N
mmm,13,
naughty,13,ADJ
naw,13,
nervous,13,ADJ
no-no-no-nothing,13,
no-nothing,13,
odl,13,
ohohoho,13,
ol',13,ADJ
ooh-oh,13,
oooh-oooh-oooh-oooh,13,
ooohooo,13,
p,13,N
plane,13,N
pressure,13,N
prince,13,N
proceed,13,V
release,13,N
rocks,13,N
roses,13,N
share,13,N
shes,13,
si,13,
small,13,ADJ
snoop,13,
speakers,13,N
stairs,13,N
store,13,N
suddenly,13,ADV
sweetheart,13,N
swing,13,V
t,13,N
tag,13,N
thats,13,
ti,13,
trash,13,N
trunk,13,N
twist,13,N
unless,13,CNJ
wat,13,
wearing,13,VG
whatcha,13,
william,13,
written,13,VN
'fore,12,CNJ
a-p-p-l-a-u-s-e,12,
a-yo,12,
animal,12,N
asking,12,VG
bathroom,12,N
behave,12,V
blank,12,ADJ
bound,12,VN
bringing,12,VG
cards,12,N
